forecast_date,location_abbr,location_name,n_sites,total_site_pop,avg_sampling_freq,max_sampling_freq,avg_latency,min_latency,avg_lab_changes,min_data_variability,avg_data_variability,prop_below_LOD,state_pop,pop_coverage
2024-07-01,BB,Brandenburg,4,376325,0.2548917748917749,0.2597402597402597,12.5,12,0,0.1977089032265971,0.29444688229280286,0,2573135,0.14625155695289987
2024-07-08,BB,Brandenburg,4,376325,0.25164502164502167,0.2597402597402597,12.5,12,0,0.2068784081881697,0.3010401893685225,0,2573135,0.14625155695289987
2024-07-15,BB,Brandenburg,4,376325,0.2532467532467532,0.2597402597402597,12,12,0,0.18546683138820308,0.2877368131992458,0,2573135,0.14625155695289987
2024-07-22,BB,Brandenburg,4,376325,0.25155844155844154,0.2597402597402597,12.5,12,0,0.16955616503877033,0.2517767951493502,0,2573135,0.14625155695289987
2024-07-29,BB,Brandenburg,4,376325,0.25,0.2571428571428571,19,19,0,0.1727915905174039,0.2206570060689353,0,2573135,0.14625155695289987
2024-08-05,BB,Brandenburg,4,376325,0.27083333333333337,0.2777777777777778,12,12,0,0.15397975229484187,0.2013081028114023,0,2573135,0.14625155695289987
2024-08-12,BB,Brandenburg,4,376325,0.26979185198363276,0.273972602739726,12,12,0,0.1464429920112232,0.18995165133931616,0,2573135,0.14625155695289987
2024-08-19,BB,Brandenburg,4,376325,0.26948051948051943,0.2727272727272727,12,12,0,0.11518084564628356,0.166747693095271,0,2573135,0.14625155695289987
2024-08-26,BB,Brandenburg,4,376325,0.2642857142857143,0.26666666666666666,15.25,14,0,0.08465764318495755,0.13696114894911204,0,2573135,0.14625155695289987
2024-09-02,BB,Brandenburg,4,376325,0.3007936507936508,0.3076923076923077,20,19,0,0.0719801851071376,0.11058307785779478,0,2573135,0.14625155695289987
2024-09-09,BB,Brandenburg,4,376325,0.2943663804319542,0.30158730158730157,27,26,0,0.06286234395143964,0.10315182235451807,0,2573135,0.14625155695289987
2024-09-16,BB,Brandenburg,4,376325,0.3024723778400249,0.3137254901960784,34,33,0,0.06488133114524824,0.09191363624662406,0,2573135,0.14625155695289987
2024-09-23,BB,Brandenburg,4,376325,0.2792207792207792,0.2987012987012987,12,12,0,0.059425138866211084,0.08745158185591805,0,2573135,0.14625155695289987
2024-09-30,BB,Brandenburg,4,376325,0.2841125541125541,0.2987012987012987,12.5,12,0,0.05696502606095012,0.08949714541376703,0,2573135,0.14625155695289987
2024-10-07,BB,Brandenburg,4,376325,0.2800324675324675,0.2987012987012987,14.25,12,0,0.0589179404616477,0.08785679813834421,0,2573135,0.14625155695289987
2024-10-14,BB,Brandenburg,4,376325,0.27166666666666667,0.3,15.25,14,0,0.05896920869805162,0.08824374191281452,0,2573135,0.14625155695289987
2024-10-21,BB,Brandenburg,4,376325,0.2662337662337662,0.2857142857142857,12,12,0,0.07656980754204562,0.09569469851929023,0,2573135,0.14625155695289987
2024-10-28,BB,Brandenburg,4,376325,0.262987012987013,0.2857142857142857,12,12,0,0.08382239352914413,0.10088501824159364,0,2573135,0.14625155695289987
